Date,Name,Subclass,Url,Division,Retailer
2024-04-12,ADIDAS LIGHT NOSH 3-PAIRS,Clothing accessories,/product_details.php?pid=109405&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
2024-04-12,ADIDAS BASEB CLASS TRE,Clothing accessories,/product_details.php?pid=96595&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
2024-04-12,SPECIALIZED - ROCKHOPPER 29'',Bicycles,/collections/mountain-bikes/products/specialized-rockhopper-29,TRANSPORT,AWOL
2024-04-12,SPECIALIZED - FAST TRACK 2BLISS READY - TAN SIDEWALL,Tyres,/collections/mtb-tyres/products/specialized-fast-track-2bliss-ready,TRANSPORT,AWOL
2024-04-12,Cabochard Vanille Caramel 0mg 50ml,Other tobacco products,https://altervape.eu/collections/eliquids/products/cabochard-vanille-caramel-0mg-50ml,ALCOHOLIC BEVERAGES AND TOBACCO,Alter Vape
2024-04-12,adidas men essentials single jersey big logo t-shirt (IC9349,Garments for men,/products/adidas-men-essentials-single-jersey-big-logo-t-shirt-ic9349,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,adidas men future icons 3-stripes shorts (IC3752),Garments for men,/products/adidas-men-future-icons-3-stripes-shorts-ic3752,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,adidas men breaknet 2.0 shoes (IF5049),Footwear for men,/products/adidas-men-breaknet-20-shoes-if5049,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,Reebok Men Flexagon Force 4 Training Shoes (HR0404),Footwear for men,/products/reebok-men-flexagon-force-4-training-shoes-hr0404,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,Bdtk Women Co Slim Tshirt (1231-900028),Garments for women,/products/bdtk-women-co-slim-tshirt-1231-900028-1231-900028-00200,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,adidas women train essentials brand love high-waisted full-l,Garments for women,/products/adidas-women-train-essentials-brand-love-high-waisted-full-l,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,Boboli Knit jacket fantasy for kids boy (525192),Garments for infants (0 to 2 years) and children (3 to 13 years),/products/boboli-knit-jacket-fantasy-for-kids-boy-525192,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,New Balance Kids Boy 574 - Classics Gradeschool (GC574CU1),Footwear for infants and children,/products/new-balance-kids-boy-574-classics-gradeschool-gc574cu1,CLOTHING AND FOOTWEAR,FamousSports
2024-04-12,KTM 390 ADVENTURE 2022 - Black,Motor cycles,/ktm-rc-390-orange-2023.html,TRANSPORT,MotoRace
2024-04-12,CASIO Collection DataBank Black Rubber Strap DBC-32-1AE,Clocks and watches,https://evdokiajewellery.com/product/casio-collection-databank-black-rubber-strap-dbc-32-1ae,MISCELLANEOUS GOODS AND SERVICES,Evdokia Jewellery
2024-04-12,OOZOO Q3 Smartwatch Black Stainless Steel Bracelet Q00309,Clocks and watches,https://evdokiajewellery.com/product/oozoo-q3-smartwatch-black-stainless-steel-bracelet-q00309,MISCELLANEOUS GOODS AND SERVICES,Evdokia Jewellery
2024-04-12,Smart Watch Marea Bluetooth Talk Μαύρο B63002-1,Clocks and watches,https://evdokiajewellery.com/product/smart-watch-marea-bluetooth-talk-%ce%bc%ce%b1%cf%8d%cf%81%ce%bf-b63002-1,MISCELLANEOUS GOODS AND SERVICES,Evdokia Jewellery
2024-04-12,Ρολόι Q&Q VR99J009Y,Clocks and watches,https://evdokiajewellery.com/product/%cf%81%ce%bf%ce%bb%cf%8c%ce%b9-qq-vr99j009y,MISCELLANEOUS GOODS AND SERVICES,Evdokia Jewellery
