Name,Subclass,Url,Division,Retailer
CarnationΚουρκουμάς(Κιτρινόριζα)50g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-turmeric-50-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΔιάφοραΒότανα15g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-mixed-herbs-15-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΣκόρδοΣκόνη50g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-garlic-powder-50-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΡίγανη15g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-oregano-15-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΘυμάρι20g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-thyme-20-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΚόλιανδροςσεΣκόνη535g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-coriander-powder-35-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΜαϊντανός15g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-parsley-15-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΒασιλικός20g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-basil-20-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΆνηθος15g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-dill-tips-15-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CarnationSpicesΔεντρολίβανο(Λασμαρί)20g,"Salt, spices and culinary herbs",/groceries/food-cupboard/salt-pepper-seasoning-bouillons/herbs-spices-seasonings/carnation-spices-rosemary-20-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΛειβαδιώτηςΑμύγδαλα200g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/nuts/livadiotis-almonds-200-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
SeranoΚάσιουςΩμά140g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/nuts/serano-raw-cashew-kernels-140-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΛειβαδιώτηΚαρυδόψιχα140g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/nuts/leivadioti-walnuts-140-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
SeranoΚαρυδόψιχες130g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/nuts/serano-walnut-kernels-130-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
SeranoΦιστικόψιχεςΨημένεςμεΑλάτι1+1Δώρο125g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/nuts/serano-roasted-peanut-kernels-1-1-free-125-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΠαστάΣύκα500g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/dried-fruit/dried-figs-500-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
SeranoSnackingGoodΑποξηραμέναΒερίκοκα250g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/dried-fruit/serano-snacking-good-dried-apricots-250-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
SeranoSnackingGoodΑποξηραμέναΔαμάσκηνα275g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/dried-fruit/serano-snacking-good-dried-prunes-with-pit-275-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
TascoNaturalΑποξηραμέναΧρυσόμηλα300g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/dried-fruit/tasco-natural-dried-apricots-300-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΦοινίκιαDegler500g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/dried-fruit/degler-dates-500-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
SeranoΣταφίδες350g,Dried fruit and nuts,/groceries/food-cupboard/dried-fruit-nuts/dried-fruit/serano-raisins-350-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΑλφαμεγαΜέλι475g,"Jams, marmalades and honey",/groceries/food-cupboard/breakfast/honey-jam-other-spreads/honey/alphamega-honey-475-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
HΩραίαΆλωνΜέλιΑνθέων475g,"Jams, marmalades and honey",/groceries/food-cupboard/breakfast/honey-jam-other-spreads/honey/i-orea-alona-blossom-honey-475-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΤοΤζιβέρτιΜέλιΑνθέων500g,"Jams, marmalades and honey",/groceries/food-cupboard/breakfast/honey-jam-other-spreads/honey/to-tziverti-wildflower-honey-500-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΤζιβέρτιΚυπριακόΜέλιΑνθέων485g,"Jams, marmalades and honey",/groceries/food-cupboard/breakfast/honey-jam-other-spreads/honey/tziverti-local-wildflowers-honey-485-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
CasinoΜαρμελάδαΦράουλας370g,"Jams, marmalades and honey",/groceries/food-cupboard/breakfast/honey-jam-other-spreads/jam/casino-strawberry-jam-370-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
NutellaΚρέμαΦουντουκιούκαιΚακάο200g,"Jams, marmalades and honey",/groceries/food-cupboard/breakfast/honey-jam-other-spreads/chocolate-spreads/nutella-hazelnut-spread-200-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
