Name,Subclass,Url,Division,Retailer
Δ. ΚΤΩΡΙΔΗΣ & ΥΙΟΣ ΛΤΔ,,d-ktoridis-yios-ltd-2?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-67?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,coral-energy-products-cyprus-ltd-33?ref=maptile,,Fuel Daddy
CRS DIAKOU LTD,,crs-diakou-ltd-1?ref=maptile,,Fuel Daddy
I.G. MAKRIS ENTERPRISES LTD,,ig-makris-enterprises-ltd-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-70?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,coral-energy-products-cyprus-ltd-33?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,/ram-oil-cyprus-limited-67?ref=maptile,,Fuel Daddy
Δ. ΚΤΩΡΙΔΗΣ & ΥΙΟΣ ΛΤΔ,,d-ktoridis-yios-ltd-2?ref=maptile,,Fuel Daddy
ΣΟΦΟΚΛΗΣ ΣΟΦΟΚΛΕΟΥΣ,,sofoklis-sofokleoys-2?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-62?ref=maptile,,Fuel Daddy
COSTAS SAVVIDES (PETROL STATION) LIMITED,,costas-savvides-petrol-station-limited-1?ref=maptile,,Fuel Daddy
ΣΥΜΟΣ ΚΑΔΗ LIMITED,,simos-kadi-limited-1?ref=maptile,,Fuel Daddy
POWERPULLS LIMITED,,powerpulls-limited-1?ref=maptile,,Fuel Daddy
Π. & Φ. ΖΑΝΤΗ ΛΙΜΙΤΕΔ,,p-f-zanti-limited-2?ref=maptile,,Fuel Daddy
Α. ΨΑΡΑΣ ΛΤΔ,,a-psaras-ltd-1?ref=maptile,,Fuel Daddy
ANGIO TRADING LIMITED,,angio-trading-limited-1?ref=maptile,,Fuel Daddy
ΠΡΑΤΗΡΙΟ ΒΕΝΖΙΝΗΣ ΑΔΑΜΟΣ ΧΡΙΣΤΟΔΟΥΛΟΥ & ΥΙΟΙ ΛΙΜΙΤΕΔ,,pratirio-venzinis-adamos-christodoyloy-yioi-limited-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-63?ref=maptile,,Fuel Daddy
ΚΩΣΤΑΚΗΣ Δ. ΚΩΝΣΤΑΝΤΙΝΟΥ,,kostakis-d-konstantinoy-1?ref=maptile,,Fuel Daddy
TROPALI PETROLEUM TWO LTD,,tropali-petroleum-two-ltd-1?ref=maptile,,Fuel Daddy
ΑΔΕΛΦΟΙ Π & Π ΧΡΙΣΤΟΔΟΥΛΟΥ ΛΙΜΙΤΕΔ,,adelfoi-p-p-christodoyloy-limited?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-61?ref=maptile,,Fuel Daddy
ΛΟΥΚΑΣ Θ. ΛΟΥΚΑ & ΥΙΟΙ (ΠΕΤΡΕΛΑΙΟΕΙΔΗ) ΛΤΔ,,loykas-th-loyka-yioi-petrelaioeidi-ltd-1?ref=maptile,,Fuel Daddy
ΣΤΑΘΜΟΣ ΒΕΝΖΙΝΗΣ Α.Γ. ΘΕΟΧΑΡΟΥΣ ΛΙΜΙΤΕΔ,,stathmos-venzinis-ag-theocharoys-limited?ref=maptile,,Fuel Daddy
ΑΝΔΡΕΑΣ ΔΩΡΟΘΕΟΥ & ΥΙΟΙ ΛΙΜΙΤΕΔ,,andreas-dorotheoy-yioi-limited?ref=maptile,,Fuel Daddy
Κ. ΚΟΦΤΕΡΟΣ & Γ. ΓΕΡΟΥ ΛΙΜΙΤΕΔ,,k-kofteros-g-geroy-limited-1?ref=maptile,,Fuel Daddy
A G A PETROL STATION LIMITED,,a-g-a-petrol-station-limited-1?ref=maptile,,Fuel Daddy
