Name,Subclass,Url,Division,Retailer
ARLYCO pork neck chops apprx 850g – 900g,Pork,arlyco-pork-neck-chops-apprx-850g-900g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ARLYCO pork shoulder for souvla apprx 1500g,Pork,arlyco-pork-shoulder-for-souvla-apprx-1500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
LAMB LEG for souvla ( per Kg ),Lamb and goat,lamb-leg-for-souvla-per-kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
LAMB CHOPS ( per Kg ),Lamb and goat,lamb-chops-per-kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ARLYCO Beef minced meat 650g,Beef and veal,arlyco-beef-minced-meat-650g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
long life BERTI semi-skimmed milk 1.5% fat 1L,Low fat milk,long-life-berti-semi-skimmed-milk-1-5-fat-1l/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ROYAL sweetened condensed milk 397g,Low fat milk,royal-sweetened-condensed-milk-397g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
LANITIS milk semi skimmed 1.5% 2L,Low fat milk,lanitis-milk-semi-skimmed-1-5-2l/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
LANITIS milk semi skimmed 1.5% 1.5L,Low fat milk,lanitis-milk-semi-skimmed-1-5-1-5l/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
LANITIS milk full fat 3% 2L,Whole milk,lanitis-milk-full-fat-3-2l/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
yogurt ZITA strained 1kg,Yoghurt,yogurt-zita-strained-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
yogurt ZITA strained 1kg – 0% fat,Yoghurt,yogurt-zita-strained-1kg-0-fat/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
Traditional yogurt ALAMBRA GIAGIA 700g,Yoghurt,traditional-yogurt-alambra-giagia-700g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
butter KERRYGOLD salted 250g,Butter,butter-kerrygold-salted-250g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
margarine VITALITE Light 500g,Margarine and other vegetable fats,margarine-vitalite-light-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
margarine FLORA original 450g – 100% plant based,Margarine and other vegetable fats,margarine-flora-original-450g-100-plant-based/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
margarine FLORA light 450g – 100% plant based,Margarine and other vegetable fats,margarine-flora-light-450g-100-plant-based/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
oats QUAKER (tin) 500g,Breakfast cereals,oats-quaker-tin-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
OREO Os cereal 350g,Breakfast cereals,oreo-os-cereal-350g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
KELLOGGS corn flakes 375g,Breakfast cereals,kelloggs-corn-flakes-375g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
KELLOGGS SPECIAL K Classic 335g,Breakfast cereals,kelloggs-special-k-classic-335g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
Kelloggs Crunchy Nut 375g,Breakfast cereals,kelloggs-crunchy-nut-with-honey-375g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ALWAYS Ultra Night 12pcs – Secure Night,"Articles for personal hygiene and wellness, esoteric products and beauty products",always-ultra-night-12pcs-secure-night-2/,MISCELLANEOUS GOODS AND SERVICES,Cheap Basket
shaving foam GILLETTE 200ml – regular / normal,"Articles for personal hygiene and wellness, esoteric products and beauty products",shaving-foam-gillette-200ml-regular-normal-2/,MISCELLANEOUS GOODS AND SERVICES,Cheap Basket
JOHNSONS cotton buds 100pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",johnsons-cotton-buds-100pcs/,MISCELLANEOUS GOODS AND SERVICES,Cheap Basket
NEUTRO ROBERTS deodorant roll-on 50ml – Delicate,"Articles for personal hygiene and wellness, esoteric products and beauty products",neutro-roberts-deodorant-roll-on-50ml-delicate/,MISCELLANEOUS GOODS AND SERVICES,Cheap Basket
NIVEA Men deodorant 150ml dry impact72h,"Articles for personal hygiene and wellness, esoteric products and beauty products",nivea-men-deodorant-150ml-dry-impact72h/,MISCELLANEOUS GOODS AND SERVICES,Cheap Basket
