Date,Division,CPI Division,Monthly Change (%)
2025-01-30,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.8214,0.0238
2025-01-30,MISCELLANEOUS GOODS AND SERVICES,99.3531,-0.6045
2025-01-30,CLOTHING AND FOOTWEAR,90.9298,-2.5618
2025-01-30,HEALTH,100.2885,-0.0002
2025-01-30,ALCOHOLIC BEVERAGES AND TOBACCO,100.0062,0.1139
2025-01-30,COMMUNICATION,99.0453,-3.1329
2025-01-30,RESTAURANTS AND HOTELS,101.5075,0.775
2025-01-30,FOOD AND NON-ALCOHOLIC BEVERAGES,102.902,-0.819
2025-01-30,RECREATION AND CULTURE,103.8432,2.0795
2025-02-27,HEALTH,100.2885,0.0
2025-02-27,TRANSPORT,100.0284,-0.1918
2025-02-27,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.8302,0.0088
2025-02-27,FOOD AND NON-ALCOHOLIC BEVERAGES,104.0955,1.1598
2025-02-27,RESTAURANTS AND HOTELS,101.928,0.4143
2025-02-27,RECREATION AND CULTURE,103.8323,-0.0105
2025-02-27,COMMUNICATION,104.6791,5.6881
2025-02-27,MISCELLANEOUS GOODS AND SERVICES,99.2907,-0.0628
2025-02-27,CLOTHING AND FOOTWEAR,90.9298,0.0
2025-02-27,ALCOHOLIC BEVERAGES AND TOBACCO,100.4635,0.4573
2025-02-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",101.0374,-0.7934
2025-02-27,EDUCATION,100.3896,0.0
2025-03-27,EDUCATION,100.484,0.094
2025-03-27,COMMUNICATION,105.2523,0.5476
2025-03-27,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.7727,-0.0576
2025-03-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",101.5045,0.4623
2025-03-27,RECREATION AND CULTURE,105.9597,2.0489
2025-03-27,MISCELLANEOUS GOODS AND SERVICES,99.27,-0.0208
2025-03-27,FOOD AND NON-ALCOHOLIC BEVERAGES,104.1312,0.0343
2025-03-27,TRANSPORT,99.724,-0.3043
2025-03-27,CLOTHING AND FOOTWEAR,91.3969,0.5137
2025-03-27,HEALTH,100.8804,0.5902
2025-03-27,ALCOHOLIC BEVERAGES AND TOBACCO,102.4121,1.9396
